Card 1,Card 2,Card 3,Card 4,Card 5,Hand
9 Clubs,4 Clubs,7 Diamonds,8 Diamonds,6 Heart,Nothing in hand
Jack Heart,9 Spades,10 Clubs,5 Clubs,9 Heart,One pair
Jack Spades,2 Heart,3 Heart,Jack Diamonds,4 Clubs,One pair
Queen Spades,2 Heart,Queen Clubs,8 Clubs,Jack Spades,One pair
2 Heart,6 Clubs,King Clubs,King Heart,King Spades,Three of a kind
Ace Spades,6 Diamonds,2 Spades,4 Clubs,Ace Diamonds,One pair
4 Clubs,6 Clubs,Queen Diamonds,8 Heart,3 Heart,Nothing in hand
9 Heart,King Spades,5 Clubs,Jack Heart,9 Spades,One pair
5 Heart,Jack Heart,6 Diamonds,8 Spades,7 Heart,Nothing in hand
5 Clubs,4 Diamonds,7 Clubs,2 Spades,9 Clubs,Nothing in hand
7 Diamonds,9 Spades,4 Clubs,Jack Clubs,King Heart,Nothing in hand
4 Diamonds,10 Heart,6 Diamonds,9 Diamonds,3 Spades,Nothing in hand
King Spades,8 Clubs,King Clubs,6 Clubs,2 Diamonds,One pair
10 Clubs,Queen Diamonds,7 Diamonds,Queen Heart,5 Spades,One pair
King Spades,Queen Clubs,King Clubs,7 Heart,8 Clubs,One pair
3 Heart,6 Spades,6 Heart,King Spades,Jack Diamonds,One pair
7 Heart,Ace Clubs,Jack Clubs,3 Diamonds,Queen Clubs,Nothing in hand
5 Heart,Ace Spades,5 Diamonds,2 Diamonds,6 Heart,One pair
King Diamonds,King Heart,Ace Spades,8 Diamonds,4 Heart,One pair
4 Heart,9 Spades,5 Spades,5 Diamonds,7 Clubs,One pair
7 Spades,7 Clubs,4 Heart,Jack Diamonds,9 Diamonds,One pair
2 Heart,9 Diamonds,2 Clubs,9 Clubs,8 Heart,Two pairs
9 Diamonds,2 Diamonds,6 Clubs,10 Diamonds,7 Diamonds,Nothing in hand
3 Clubs,4 Heart,8 Diamonds,7 Clubs,9 Diamonds,Nothing in hand
9 Spades,5 Spades,4 Diamonds,10 Spades,7 Spades,Nothing in hand
Queen Heart,Queen Clubs,8 Clubs,Jack Clubs,Queen Spades,Three of a kind
Ace Spades,6 Clubs,4 Heart,9 Heart,Ace Heart,One pair
10 Spades,6 Clubs,Jack Clubs,5 Clubs,Queen Spades,Nothing in hand
8 Heart,Jack Heart,2 Clubs,7 Clubs,Ace Diamonds,Nothing in hand
5 Clubs,Jack Spades,2 Spades,9 Clubs,7 Diamonds,Nothing in hand
Queen Spades,7 Heart,9 Spades,8 Clubs,7 Diamonds,One pair
9 Spades,2 Spades,7 Diamonds,King Clubs,Jack Diamonds,Nothing in hand
6 Diamonds,8 Diamonds,Queen Spades,8 Clubs,Jack Diamonds,One pair
9 Spades,8 Clubs,2 Clubs,9 Clubs,Jack Clubs,One pair
4 Diamonds,10 Spades,3 Diamonds,King Clubs,4 Clubs,One pair
5 Clubs,2 Clubs,10 Spades,Jack Clubs,Jack Spades,One pair
7 Spades,3 Diamonds,3 Clubs,10 Clubs,Queen Diamonds,One pair
4 Spades,7 Spades,7 Heart,4 Diamonds,5 Spades,Two pairs
7 Clubs,2 Diamonds,3 Spades,King Clubs,2 Clubs,One pair
4 Diamonds,King Diamonds,8 Spades,9 Diamonds,9 Heart,One pair
8 Clubs,9 Heart,8 Diamonds,8 Heart,3 Clubs,Three of a kind
3 Clubs,Ace Spades,10 Spades,2 Heart,4 Clubs,Nothing in hand
7 Diamonds,4 Heart,3 Diamonds,8 Spades,Ace Heart,Nothing in hand
7 Clubs,King Heart,3 Spades,9 Heart,Ace Clubs,Nothing in hand
9 Clubs,7 Spades,King Diamonds,Ace Spades,Queen Diamonds,Nothing in hand
4 Clubs,7 Diamonds,Ace Clubs,3 Clubs,9 Spades,Nothing in hand
8 Diamonds,2 Clubs,King Spades,King Diamonds,Jack Clubs,One pair
Queen Spades,Jack Diamonds,9 Spades,8 Clubs,7 Spades,Nothing in hand
Jack Heart,7 Heart,9 Clubs,5 Heart,10 Diamonds,Nothing in hand
Ace Clubs,9 Diamonds,2 Diamonds,Jack Spades,9 Spades,One pair
4 Spades,Queen Diamonds,Ace Spades,7 Spades,7 Heart,One pair
3 Diamonds,King Heart,9 Spades,8 Spades,8 Diamonds,One pair
Ace Clubs,6 Spades,8 Diamonds,2 Diamonds,6 Heart,One pair
5 Clubs,8 Heart,Queen Spades,Queen Heart,King Heart,One pair
Jack Clubs,2 Spades,10 Clubs,Queen Diamonds,7 Heart,Nothing in hand
4 Clubs,7 Heart,King Diamonds,Queen Diamonds,2 Spades,Nothing in hand
8 Diamonds,Queen Spades,Jack Clubs,Ace Clubs,9 Diamonds,Nothing in hand
7 Spades,Queen Clubs,2 Clubs,King Diamonds,5 Heart,Nothing in hand
5 Spades,5 Diamonds,2 Diamonds,King Spades,4 Clubs,One pair
Jack Heart,Queen Diamonds,10 Diamonds,9 Clubs,King Spades,Straight
King Spades,3 Heart,7 Heart,9 Spades,7 Diamonds,One pair
Ace Heart,2 Diamonds,6 Clubs,Jack Spades,Queen Clubs,Nothing in hand
5 Diamonds,Queen Heart,3 Diamonds,7 Heart,9 Heart,Nothing in hand
9 Clubs,4 Spades,3 Heart,7 Diamonds,Queen Heart,Nothing in hand
Jack Clubs,Queen Heart,7 Diamonds,4 Spades,Ace Spades,Nothing in hand
2 Clubs,Jack Diamonds,4 Spades,King Clubs,King Spades,One pair
Ace Clubs,Ace Spades,3 Clubs,4 Spades,8 Spades,One pair
4 Clubs,5 Heart,3 Spades,Jack Heart,King Clubs,Nothing in hand
5 Spades,5 Diamonds,Queen Clubs,2 Spades,Queen Diamonds,Two pairs
8 Heart,10 Clubs,Jack Spades,4 Diamonds,3 Diamonds,Nothing in hand
6 Clubs,3 Clubs,5 Heart,Jack Heart,8 Spades,Nothing in hand
6 Clubs,Jack Heart,5 Diamonds,5 Spades,10 Heart,One pair
2 Spades,5 Diamonds,6 Heart,10 Diamonds,3 Diamonds,Nothing in hand
10 Clubs,Ace Spades,Jack Spades,2 Heart,King Clubs,Nothing in hand
Jack Heart,10 Spades,9 Diamonds,2 Spades,6 Heart,Nothing in hand
10 Heart,3 Spades,4 Spades,8 Heart,Jack Clubs,Nothing in hand
Jack Clubs,4 Diamonds,2 Clubs,4 Spades,6 Heart,One pair
9 Spades,4 Diamonds,Jack Spades,4 Clubs,9 Clubs,Two pairs
4 Heart,9 Clubs,2 Diamonds,Queen Heart,6 Spades,Nothing in hand
9 Clubs,8 Spades,6 Spades,6 Diamonds,Jack Clubs,One pair
Queen Diamonds,Ace Diamonds,Jack Spades,2 Diamonds,5 Spades,Nothing in hand
Ace Spades,5 Diamonds,7 Spades,4 Heart,10 Spades,Nothing in hand
7 Diamonds,2 Spades,7 Heart,7 Spades,2 Heart,Full house
5 Spades,8 Diamonds,4 Spades,5 Heart,Jack Diamonds,One pair
8 Diamonds,Jack Heart,Queen Diamonds,5 Spades,9 Spades,Nothing in hand
Queen Diamonds,9 Diamonds,2 Diamonds,3 Heart,6 Diamonds,Nothing in hand
9 Diamonds,King Diamonds,5 Heart,8 Spades,8 Clubs,One pair
Ace Heart,Jack Diamonds,4 Spades,8 Spades,8 Heart,One pair
3 Diamonds,5 Spades,2 Heart,6 Diamonds,10 Clubs,Nothing in hand
9 Diamonds,Ace Diamonds,8 Heart,9 Clubs,10 Spades,One pair
Ace Clubs,5 Spades,Queen Spades,2 Diamonds,10 Spades,Nothing in hand
7 Heart,Jack Heart,King Spades,3 Spades,5 Spades,Nothing in hand
10 Spades,Jack Heart,7 Heart,2 Heart,Jack Diamonds,One pair
4 Heart,Jack Heart,6 Clubs,10 Clubs,10 Diamonds,One pair
8 Clubs,King Spades,4 Clubs,Queen Clubs,Ace Heart,Nothing in hand
2 Spades,6 Spades,Ace Clubs,9 Diamonds,8 Clubs,Nothing in hand
5 Clubs,Ace Spades,3 Spades,6 Diamonds,10 Heart,Nothing in hand
7 Spades,8 Clubs,Jack Diamonds,5 Clubs,7 Clubs,One pair
Jack Heart,3 Spades,7 Diamonds,Queen Heart,4 Heart,Nothing in hand
7 Clubs,Ace Clubs,5 Heart,2 Heart,3 Spades,Nothing in hand
5 Diamonds,King Heart,Jack Clubs,2 Spades,Jack Diamonds,One pair
10 Heart,4 Heart,3 Heart,3 Diamonds,Ace Diamonds,One pair
King Heart,Queen Spades,King Clubs,4 Spades,2 Spades,One pair
3 Clubs,6 Clubs,5 Clubs,3 Heart,3 Spades,Three of a kind
Queen Clubs,6 Spades,10 Spades,3 Clubs,2 Clubs,Nothing in hand
10 Heart,Ace Heart,3 Heart,2 Spades,2 Heart,One pair
King Clubs,6 Clubs,King Heart,2 Spades,King Diamonds,Three of a kind
6 Heart,6 Diamonds,Queen Clubs,8 Diamonds,8 Clubs,Two pairs
Ace Clubs,10 Heart,9 Spades,2 Diamonds,7 Diamonds,Nothing in hand
Jack Heart,3 Spades,9 Diamonds,10 Diamonds,5 Diamonds,Nothing in hand
6 Spades,8 Clubs,5 Clubs,7 Spades,3 Clubs,Nothing in hand
King Spades,8 Spades,King Heart,3 Clubs,3 Heart,Two pairs
9 Diamonds,10 Spades,3 Diamonds,8 Spades,Ace Clubs,Nothing in hand
9 Diamonds,Jack Clubs,5 Spades,5 Diamonds,King Heart,One pair
2 Heart,7 Heart,2 Diamonds,Ace Clubs,5 Clubs,One pair
2 Diamonds,4 Diamonds,Queen Spades,Queen Diamonds,6 Heart,One pair
Ace Heart,Jack Diamonds,6 Diamonds,2 Spades,7 Spades,Nothing in hand
8 Spades,10 Heart,2 Spades,9 Clubs,5 Heart,Nothing in hand
King Diamonds,2 Spades,Jack Heart,Queen Clubs,5 Heart,Nothing in hand
3 Heart,Ace Heart,6 Clubs,2 Diamonds,Queen Heart,Nothing in hand
Queen Spades,5 Heart,King Spades,Jack Heart,9 Spades,Nothing in hand
4 Diamonds,10 Spades,King Diamonds,6 Spades,7 Clubs,Nothing in hand
7 Clubs,9 Spades,7 Spades,6 Clubs,4 Heart,One pair
King Clubs,7 Heart,Jack Clubs,Jack Heart,4 Spades,One pair
2 Heart,6 Clubs,4 Diamonds,8 Clubs,Ace Clubs,Nothing in hand
2 Spades,9 Clubs,6 Heart,8 Heart,King Diamonds,Nothing in hand
Jack Clubs,3 Diamonds,6 Diamonds,Jack Spades,6 Heart,Two pairs
King Clubs,9 Heart,7 Diamonds,Jack Diamonds,7 Heart,One pair
Ace Spades,Queen Clubs,4 Heart,7 Heart,3 Diamonds,Nothing in hand
3 Spades,6 Spades,9 Spades,7 Spades,9 Diamonds,One pair
Jack Spades,4 Heart,7 Diamonds,Ace Spades,9 Spades,Nothing in hand
King Diamonds,8 Clubs,2 Heart,Jack Heart,4 Spades,Nothing in hand
9 Spades,5 Clubs,3 Heart,Jack Heart,6 Heart,Nothing in hand
Ace Diamonds,Ace Heart,6 Diamonds,Ace Clubs,7 Spades,Three of a kind
9 Spades,3 Diamonds,4 Heart,Ace Diamonds,8 Spades,Nothing in hand
Queen Clubs,Queen Heart,Queen Diamonds,King Spades,4 Diamonds,Three of a kind
10 Clubs,Queen Clubs,9 Spades,4 Spades,8 Diamonds,Nothing in hand
3 Diamonds,King Diamonds,2 Diamonds,Jack Diamonds,Queen Clubs,Nothing in hand
3 Heart,3 Diamonds,King Heart,6 Heart,4 Heart,One pair
6 Diamonds,5 Diamonds,King Heart,6 Heart,10 Spades,One pair
King Heart,6 Clubs,2 Clubs,2 Diamonds,2 Spades,Three of a kind
Jack Heart,Jack Clubs,5 Heart,Ace Diamonds,9 Spades,One pair
King Clubs,Queen Spades,9 Spades,6 Diamonds,3 Diamonds,Nothing in hand
5 Heart,5 Spades,2 Diamonds,Ace Diamonds,3 Clubs,One pair
4 Heart,4 Clubs,Queen Spades,3 Heart,10 Heart,One pair
5 Heart,9 Diamonds,6 Heart,3 Diamonds,7 Clubs,Nothing in hand
2 Spades,8 Heart,6 Clubs,4 Diamonds,Queen Spades,Nothing in hand
Ace Diamonds,5 Heart,5 Clubs,9 Diamonds,4 Clubs,One pair
King Spades,9 Heart,8 Diamonds,Ace Clubs,Ace Heart,One pair
9 Heart,8 Heart,10 Diamonds,10 Clubs,10 Spades,Three of a kind
2 Heart,10 Diamonds,Jack Spades,6 Spades,8 Spades,Nothing in hand
6 Spades,Jack Clubs,6 Clubs,5 Clubs,10 Diamonds,One pair
10 Clubs,King Spades,2 Spades,10 Diamonds,King Clubs,Two pairs
6 Diamonds,Queen Spades,3 Diamonds,3 Spades,9 Heart,One pair
10 Spades,5 Clubs,King Spades,2 Spades,King Diamonds,One pair
7 Clubs,3 Diamonds,5 Spades,8 Spades,10 Diamonds,Nothing in hand
10 Clubs,9 Heart,4 Heart,4 Spades,2 Heart,One pair
9 Spades,7 Diamonds,King Heart,King Spades,2 Heart,One pair
10 Heart,6 Spades,Queen Spades,5 Spades,3 Clubs,Nothing in hand
3 Spades,Jack Heart,4 Diamonds,2 Spades,8 Diamonds,Nothing in hand
8 Spades,4 Heart,King Clubs,3 Heart,Queen Clubs,Nothing in hand
10 Diamonds,10 Clubs,5 Heart,4 Diamonds,5 Clubs,Two pairs
Queen Spades,Queen Clubs,Jack Clubs,4 Heart,King Diamonds,One pair
10 Spades,6 Diamonds,4 Clubs,8 Clubs,Ace Clubs,Nothing in hand
3 Clubs,9 Diamonds,Queen Spades,5 Diamonds,9 Spades,One pair
7 Diamonds,6 Spades,Ace Diamonds,Jack Heart,5 Diamonds,Nothing in hand
10 Diamonds,9 Spades,King Spades,6 Spades,3 Heart,Nothing in hand
10 Diamonds,5 Diamonds,King Diamonds,3 Spades,9 Spades,Nothing in hand
King Heart,10 Spades,6 Spades,King Diamonds,6 Clubs,Two pairs
3 Heart,9 Diamonds,Queen Diamonds,6 Diamonds,9 Spades,One pair
4 Clubs,4 Spades,4 Heart,Ace Diamonds,Ace Heart,Full house
8 Clubs,10 Clubs,5 Diamonds,Queen Spades,5 Heart,One pair
6 Clubs,3 Spades,King Clubs,10 Spades,7 Spades,Nothing in hand
Queen Clubs,10 Heart,King Heart,4 Heart,6 Spades,Nothing in hand
6 Spades,Jack Diamonds,7 Spades,4 Clubs,2 Heart,Nothing in hand
6 Spades,Queen Spades,4 Diamonds,King Diamonds,Jack Spades,Nothing in hand
Jack Heart,9 Heart,Jack Clubs,King Spades,10 Diamonds,One pair
10 Diamonds,Queen Spades,10 Spades,2 Diamonds,4 Diamonds,One pair
5 Diamonds,7 Heart,9 Heart,Queen Clubs,4 Clubs,Nothing in hand
10 Clubs,Ace Diamonds,2 Clubs,7 Clubs,8 Spades,Nothing in hand
7 Spades,Jack Clubs,Queen Clubs,Queen Spades,Jack Spades,Two pairs
5 Clubs,3 Spades,4 Diamonds,10 Clubs,Queen Spades,Nothing in hand
3 Spades,8 Clubs,6 Heart,Queen Clubs,King Diamonds,Nothing in hand
Jack Heart,7 Heart,10 Clubs,Queen Clubs,Ace Spades,Nothing in hand
4 Diamonds,4 Clubs,10 Clubs,King Clubs,2 Spades,One pair
2 Spades,Ace Spades,Queen Clubs,King Clubs,King Diamonds,One pair
3 Diamonds,7 Spades,5 Diamonds,6 Diamonds,8 Spades,Nothing in hand
8 Heart,9 Diamonds,6 Spades,Jack Clubs,9 Spades,One pair
King Spades,8 Spades,8 Heart,10 Clubs,Ace Clubs,One pair
3 Clubs,3 Diamonds,8 Diamonds,5 Heart,King Spades,One pair
Queen Clubs,Ace Heart,3 Heart,Jack Diamonds,King Diamonds,Nothing in hand
3 Spades,6 Diamonds,King Spades,3 Clubs,5 Spades,One pair
4 Diamonds,7 Clubs,Queen Spades,7 Spades,10 Clubs,One pair
Queen Diamonds,7 Spades,6 Clubs,Jack Diamonds,9 Heart,Nothing in hand
7 Diamonds,7 Heart,5 Diamonds,4 Spades,King Spades,One pair
2 Spades,3 Spades,8 Diamonds,7 Diamonds,4 Spades,Nothing in hand
6 Spades,10 Heart,10 Spades,4 Spades,3 Diamonds,One pair
7 Diamonds,6 Heart,King Clubs,2 Diamonds,8 Spades,Nothing in hand
Ace Spades,Queen Diamonds,8 Diamonds,8 Heart,10 Clubs,One pair
5 Heart,4 Clubs,Jack Spades,Ace Heart,2 Diamonds,Nothing in hand
7 Heart,King Heart,8 Clubs,3 Spades,Ace Clubs,Nothing in hand
King Diamonds,7 Clubs,10 Spades,6 Spades,2 Diamonds,Nothing in hand
7 Heart,Jack Clubs,10 Clubs,2 Spades,3 Diamonds,Nothing in hand
King Spades,3 Spades,King Clubs,3 Heart,Ace Spades,Two pairs
3 Clubs,4 Spades,King Clubs,Jack Spades,2 Spades,Nothing in hand
7 Diamonds,Jack Clubs,5 Spades,4 Clubs,3 Spades,Nothing in hand
4 Clubs,7 Clubs,Queen Clubs,9 Spades,10 Heart,Nothing in hand
Queen Diamonds,Jack Diamonds,4 Clubs,3 Spades,King Diamonds,Nothing in hand
Queen Spades,3 Diamonds,7 Heart,6 Diamonds,Queen Clubs,One pair
8 Diamonds,8 Heart,6 Diamonds,6 Spades,King Heart,Two pairs
Ace Diamonds,5 Diamonds,7 Heart,8 Heart,10 Diamonds,Nothing in hand
Ace Clubs,Ace Spades,7 Spades,6 Diamonds,8 Spades,One pair
7 Diamonds,10 Spades,10 Diamonds,8 Spades,3 Heart,One pair
Ace Clubs,10 Clubs,3 Diamonds,5 Spades,7 Heart,Nothing in hand
9 Heart,Queen Heart,5 Diamonds,Ace Clubs,6 Diamonds,Nothing in hand
4 Diamonds,King Diamonds,8 Diamonds,3 Spades,3 Diamonds,One pair
Queen Heart,5 Clubs,3 Spades,King Diamonds,2 Diamonds,Nothing in hand
10 Heart,7 Spades,4 Diamonds,9 Clubs,Ace Diamonds,Nothing in hand
4 Clubs,7 Diamonds,7 Heart,Queen Spades,Jack Clubs,One pair
9 Spades,King Diamonds,10 Heart,7 Spades,King Heart,One pair
Jack Diamonds,5 Clubs,Ace Spades,9 Diamonds,10 Spades,Nothing in hand
2 Spades,Jack Spades,King Spades,Jack Diamonds,10 Heart,One pair
4 Diamonds,3 Heart,Jack Heart,3 Spades,8 Heart,One pair
2 Clubs,4 Heart,9 Spades,5 Diamonds,4 Diamonds,One pair
Ace Spades,9 Heart,10 Spades,6 Clubs,6 Spades,One pair
6 Diamonds,6 Spades,10 Clubs,7 Heart,King Diamonds,One pair
Queen Diamonds,8 Spades,Jack Clubs,6 Diamonds,3 Clubs,Nothing in hand
4 Clubs,8 Spades,2 Spades,10 Spades,9 Heart,Nothing in hand
9 Spades,King Diamonds,6 Clubs,King Spades,8 Heart,One pair
7 Heart,Jack Diamonds,Ace Heart,4 Heart,3 Spades,Nothing in hand
Ace Spades,7 Spades,2 Heart,2 Diamonds,8 Heart,One pair
3 Heart,Queen Spades,Ace Diamonds,2 Heart,4 Clubs,Nothing in hand
Queen Clubs,Queen Spades,4 Heart,3 Heart,Jack Spades,One pair
Jack Diamonds,8 Spades,2 Heart,Ace Diamonds,Jack Clubs,One pair
Ace Spades,7 Clubs,9 Diamonds,Jack Heart,King Spades,Nothing in hand
7 Heart,9 Diamonds,10 Clubs,King Spades,4 Heart,Nothing in hand
7 Clubs,10 Diamonds,Jack Diamonds,Jack Heart,3 Diamonds,One pair
King Diamonds,8 Diamonds,Ace Diamonds,4 Clubs,6 Spades,Nothing in hand
2 Diamonds,8 Diamonds,9 Diamonds,10 Spades,6 Spades,Nothing in hand
9 Spades,Jack Diamonds,4 Clubs,4 Heart,Queen Spades,One pair
9 Spades,Ace Diamonds,3 Diamonds,King Clubs,7 Spades,Nothing in hand
10 Heart,2 Spades,Queen Clubs,10 Clubs,5 Spades,One pair
Ace Heart,4 Clubs,8 Heart,Ace Spades,9 Diamonds,One pair
Jack Heart,7 Clubs,5 Heart,Ace Diamonds,8 Clubs,Nothing in hand
7 Clubs,5 Heart,2 Clubs,5 Clubs,Jack Heart,One pair
4 Clubs,6 Diamonds,2 Heart,5 Spades,King Heart,Nothing in hand
King Heart,8 Heart,King Spades,10 Heart,2 Clubs,One pair
King Heart,9 Diamonds,6 Diamonds,2 Spades,4 Clubs,Nothing in hand
6 Clubs,7 Clubs,4 Diamonds,9 Spades,3 Diamonds,Nothing in hand
9 Clubs,Jack Heart,10 Heart,7 Diamonds,5 Clubs,Nothing in hand
9 Heart,King Clubs,5 Spades,5 Clubs,8 Heart,One pair
7 Diamonds,3 Spades,Jack Diamonds,3 Diamonds,Queen Diamonds,One pair
Queen Heart,Ace Clubs,Queen Diamonds,4 Clubs,7 Diamonds,One pair
Ace Spades,7 Spades,9 Diamonds,Jack Diamonds,6 Heart,Nothing in hand
7 Heart,Queen Heart,Jack Clubs,4 Spades,2 Diamonds,Nothing in hand
7 Spades,3 Heart,4 Spades,9 Clubs,4 Clubs,One pair
6 Heart,2 Spades,Queen Clubs,Jack Clubs,9 Clubs,Nothing in hand
2 Diamonds,8 Spades,10 Clubs,5 Spades,King Heart,Nothing in hand
10 Clubs,2 Diamonds,Ace Spades,King Diamonds,4 Clubs,Nothing in hand
Queen Clubs,7 Diamonds,3 Heart,8 Diamonds,King Spades,Nothing in hand
6 Clubs,King Diamonds,Ace Clubs,King Spades,7 Spades,One pair
Ace Spades,10 Clubs,7 Spades,9 Diamonds,2 Diamonds,Nothing in hand
Jack Diamonds,Ace Diamonds,3 Spades,Queen Diamonds,Queen Heart,One pair
2 Spades,King Diamonds,King Spades,Jack Diamonds,Ace Diamonds,One pair
6 Spades,King Diamonds,7 Spades,8 Clubs,8 Diamonds,One pair
3 Heart,7 Heart,Jack Clubs,10 Diamonds,7 Clubs,One pair
6 Clubs,7 Spades,Jack Diamonds,9 Heart,4 Diamonds,Nothing in hand
8 Clubs,3 Heart,King Spades,10 Clubs,10 Spades,One pair
4 Diamonds,10 Heart,Jack Clubs,King Spades,7 Clubs,Nothing in hand
King Spades,6 Heart,7 Diamonds,2 Clubs,5 Diamonds,Nothing in hand
8 Diamonds,7 Clubs,Queen Clubs,5 Spades,7 Spades,One pair
10 Spades,8 Diamonds,3 Heart,10 Diamonds,7 Clubs,One pair
2 Clubs,9 Heart,6 Heart,5 Heart,Jack Clubs,Nothing in hand
2 Diamonds,3 Spades,Ace Spades,9 Spades,2 Clubs,One pair
Ace Diamonds,8 Clubs,9 Heart,Queen Spades,7 Spades,Nothing in hand
Ace Clubs,6 Heart,2 Heart,10 Diamonds,Jack Clubs,Nothing in hand
6 Spades,3 Spades,9 Heart,7 Spades,4 Diamonds,Nothing in hand
8 Spades,10 Spades,6 Heart,10 Diamonds,King Diamonds,One pair
Jack Clubs,4 Diamonds,2 Diamonds,King Heart,10 Spades,Nothing in hand
4 Clubs,9 Spades,King Spades,9 Heart,3 Spades,One pair
6 Diamonds,4 Clubs,2 Diamonds,Ace Spades,Queen Clubs,Nothing in hand
5 Heart,10 Heart,3 Heart,9 Clubs,King Diamonds,Nothing in hand
Queen Clubs,4 Diamonds,9 Clubs,Ace Diamonds,10 Diamonds,Nothing in hand
King Clubs,2 Heart,8 Heart,4 Clubs,7 Heart,Nothing in hand
5 Spades,Ace Diamonds,5 Clubs,Ace Clubs,Queen Heart,Two pairs
7 Diamonds,5 Clubs,Jack Clubs,8 Heart,4 Spades,Nothing in hand
King Diamonds,Queen Spades,Jack Spades,2 Diamonds,5 Clubs,Nothing in hand
Queen Spades,7 Diamonds,Queen Heart,8 Clubs,9 Clubs,One pair
8 Clubs,4 Heart,5 Clubs,5 Heart,3 Heart,One pair
3 Clubs,Ace Heart,Jack Diamonds,5 Heart,10 Clubs,Nothing in hand
6 Clubs,Jack Clubs,7 Spades,8 Spades,4 Diamonds,Nothing in hand
5 Clubs,Ace Clubs,Jack Diamonds,5 Heart,10 Heart,One pair
3 Spades,Queen Diamonds,2 Heart,6 Heart,King Spades,Nothing in hand
Jack Diamonds,4 Heart,6 Diamonds,Queen Clubs,9 Diamonds,Nothing in hand
Ace Diamonds,Jack Diamonds,4 Spades,King Spades,6 Heart,Nothing in hand
Queen Heart,King Spades,6 Heart,4 Spades,8 Heart,Nothing in hand
King Clubs,8 Heart,8 Diamonds,9 Spades,King Diamonds,Two pairs
9 Clubs,4 Clubs,3 Heart,King Diamonds,4 Heart,One pair
Ace Heart,King Spades,10 Heart,2 Heart,10 Spades,One pair
8 Heart,Queen Diamonds,King Heart,8 Clubs,6 Heart,One pair
2 Heart,Queen Diamonds,8 Spades,Ace Diamonds,7 Heart,Nothing in hand
3 Diamonds,Ace Diamonds,9 Heart,6 Heart,Ace Heart,One pair
10 Heart,Queen Diamonds,Jack Diamonds,9 Heart,4 Spades,Nothing in hand
5 Diamonds,10 Spades,6 Heart,King Diamonds,6 Spades,One pair
10 Spades,8 Heart,King Heart,7 Heart,4 Spades,Nothing in hand
Queen Clubs,Queen Diamonds,Queen Spades,Ace Heart,3 Heart,Three of a kind
3 Clubs,9 Diamonds,9 Clubs,8 Heart,5 Spades,One pair
King Heart,5 Clubs,King Diamonds,7 Diamonds,4 Spades,One pair
2 Heart,5 Diamonds,10 Diamonds,9 Diamonds,6 Clubs,Nothing in hand
10 Spades,Ace Clubs,King Diamonds,Queen Diamonds,3 Diamonds,Nothing in hand
Queen Diamonds,6 Diamonds,10 Diamonds,Ace Diamonds,3 Spades,Nothing in hand
8 Diamonds,Queen Heart,Queen Clubs,9 Heart,Queen Diamonds,Three of a kind
Ace Clubs,3 Heart,Jack Heart,4 Spades,9 Clubs,Nothing in hand
7 Spades,3 Diamonds,5 Diamonds,Queen Diamonds,10 Diamonds,Nothing in hand
Ace Heart,6 Spades,10 Spades,Jack Spades,9 Heart,Nothing in hand
Queen Clubs,8 Diamonds,7 Spades,7 Clubs,3 Diamonds,One pair
Ace Heart,Jack Spades,Queen Diamonds,5 Spades,5 Heart,One pair
6 Clubs,Ace Clubs,5 Clubs,3 Clubs,8 Clubs,Flush
7 Spades,Queen Heart,4 Heart,2 Spades,Queen Spades,One pair
King Heart,Ace Diamonds,Queen Heart,6 Diamonds,Jack Clubs,Nothing in hand
5 Diamonds,Jack Clubs,4 Heart,Queen Heart,8 Diamonds,Nothing in hand
Jack Diamonds,Ace Diamonds,7 Spades,5 Heart,2 Diamonds,Nothing in hand
Queen Spades,Jack Clubs,Ace Clubs,4 Spades,Ace Heart,One pair
7 Clubs,2 Clubs,9 Diamonds,Jack Clubs,4 Clubs,Nothing in hand
King Clubs,7 Heart,7 Spades,9 Heart,10 Diamonds,One pair
8 Diamonds,Ace Clubs,2 Heart,2 Spades,9 Heart,One pair
King Spades,7 Diamonds,3 Heart,Queen Heart,9 Heart,Nothing in hand
8 Heart,King Heart,4 Heart,10 Clubs,2 Diamonds,Nothing in hand
Jack Diamonds,6 Spades,Queen Heart,4 Heart,Queen Diamonds,One pair
Queen Spades,4 Spades,7 Spades,King Diamonds,Queen Diamonds,One pair
10 Heart,2 Heart,7 Clubs,7 Diamonds,4 Diamonds,One pair
King Spades,2 Heart,2 Spades,3 Spades,4 Diamonds,One pair
2 Heart,7 Heart,10 Diamonds,6 Diamonds,3 Spades,Nothing in hand
7 Heart,Ace Diamonds,10 Diamonds,8 Clubs,King Diamonds,Nothing in hand
4 Heart,10 Diamonds,Queen Diamonds,Jack Spades,King Diamonds,Nothing in hand
8 Spades,10 Diamonds,2 Diamonds,Ace Clubs,Queen Diamonds,Nothing in hand
8 Spades,7 Diamonds,6 Diamonds,2 Heart,Queen Diamonds,Nothing in hand
5 Clubs,4 Clubs,10 Clubs,7 Heart,10 Heart,One pair
3 Heart,4 Clubs,8 Diamonds,Ace Diamonds,9 Clubs,Nothing in hand
10 Diamonds,6 Heart,7 Spades,King Heart,6 Diamonds,One pair
10 Spades,Jack Spades,Jack Clubs,Queen Clubs,2 Heart,One pair
9 Spades,Queen Spades,Jack Diamonds,9 Diamonds,2 Clubs,One pair
4 Clubs,7 Diamonds,Queen Clubs,5 Heart,7 Spades,One pair
